['AHAA61857', '南京医药合肥大药房连锁有限公司伟宏药房', '安徽省合肥市庐阳区大杨镇龙王社民委A区移民区63栋12号\n', '31.90055,117.22835']
['AHAA66135', '南京医药合肥大药房连锁春意浓大药房', '合肥市庐阳区蒙城北路与北一环交口北京华联商厦负二楼北京华联超市收银台对面\n', '31.88009,117.278']
['AHHA01819', '南京医药合肥大药房连锁有限公司大学城药房', '合肥市包河区屏山路紫竹苑D区2段D12-9号\n', '31.806190000000004,117.27190999999999']
['AHAA61877', '安徽时珍堂大药房连锁有限公司站塘路店', '合肥市瑶海区站塘路100号金盛家园1幢\n', '31.87432,117.34423']
['AHAA68429', '南京医药合肥大药房连锁新怡药房', '安徽省合肥市宿州路4号富世广场A座101、140室\n', '31.859090999999996,117.29006099999997']
['AHAA61849', '南京医药合肥大药房连锁有限公司大福药房', '安徽省合肥市经济技术开发区翡翠路东，丹霞路南金水，童话名苑25幢102铺\n', '31.77395,117.21351']
['AHAA61844', '南京医药合肥大药房连锁有限公司乐福药房', '安徽省合肥市蜀山区新产业园蜀峰路山湖苑小区7号\n', '31.86284000000001,117.17156999999997']
['AHAA68428', '南京医药合肥大药房连锁金怡药房', '合肥市绩溪路29号楼一层西边门面\n', '31.845670000000005,117.26547']
['AHAA58772', '安徽时珍堂大药房连锁有限公司通达路店', '合肥市瑶海区龙岗开发区明达仓储中心T1193号\n', '31.87072,117.38673']
['AHAA57539', '南京医药合肥大药房连锁梅山药房', '合肥市蜀山区长江西路与肥西路交口189号南京大洋百货负一层\n', '31.854649999999992,117.25705']
['AHAA56608', '南京医药合肥大药房连锁有限公司传福药房', '安徽省合肥市蜀山区孔塘路华府骏苑商铺114号\n', '31.82929000000002,117.23541000000003']
['AHAA55686', '安徽合肥市康家药房', '合肥市庐阳区淮河路430号1幢\n', '31.86702,117.27877']
['AHAA56486', '南京医药合肥大药房连锁有限公司海洲药房', '安徽省合肥市瑶海区龙岗开发区临泉东路风景雅苑1幢108-109号\n', '31.875,117.36604']
['AHAA56691', '南京医药合肥大药房连锁有限公司淠河路药房', '合肥市庐阳区蒙城北路与北一环交口北京华联商厦负二楼北京华联超市收银台对面\n', '31.88009,117.278']
['AHAA48014', '南京医药合肥大药房连锁有限公司亿生新特药房', '安徽省合肥市庐阳区蒙城北路和煦园小区39幢106-107\n', '31.87775,117.27799']
['AHAA53744', '南京医药合肥大药房连锁有限公司张巷药房', '安徽省合肥市包河区骆岗镇黄巷村张巷张巷村民小组\n', '31.8175,117.334']
['AHAA47831', '合肥市惠福大药房', '安徽省合肥市西七里塘十里庙路8号\n', '31.88771999999999,117.30562']
['AHAA53743', '南京医药合肥大药房连锁有限公司梧桐嘉园小区药房', '安徽省合肥市庐阳区蒙城北路与涡阳路西交口处东北角梧桐嘉园W11号\n', '31.90558,117.27475']
['AHAA47705', '合肥高新区开福大药房', '安徽省合肥市高新区蜀南庭苑商业街2幢109号\n', '31.82738,117.16423']
