安徽立方连锁药房有限公司大众巷店 合肥市庐阳区大众巷7号楼112号 
安徽立方连锁药房有限公司庐江一店 安徽省合肥市庐江县庐城镇文昌路56号（文昌路以北商住楼104、105、106、107） 
安徽立方连锁药房有限公司肥东世宏广场店 合肥市肥东县店埠镇安乐路世宏城市广场S2号楼114门面房 
安徽立方连锁药房有限公司肥东沿河路店 合肥市肥东县店埠镇沿河东路28号1幢 
安徽立方连锁药房有限公司肥东世宏广场店 合肥市肥东县店埠镇安乐路世宏城市广场S2号楼114门面房 
安徽立方连锁药房有限公司蜀南庭苑店 合肥市高新区蜀南庭苑西商业街14#楼109门面房 
北龙中网（北京）科技有限责任公司 www.knet.cn 
安徽立方连锁药房有限公司园景天下店 合肥市高新区园景天下·枫丹山庄2栋S31、S32室门面 
安徽立方连锁药房有限公司庐江文昌路店 安徽省庐江县庐城镇文昌路育才花园10栋128-129室 
安徽立方连锁药房有限公司高新安医店 合肥市高新区华纺新华城C2-103、C2-104部分一层门面房 
安徽立方连锁药房有限公司和平路店 合肥市瑶海区和平路与铜陵路交叉口万和新城广场一楼门面 
安徽立方连锁药房有限公司美湖小区店 合肥市包河区太湖路美湖小区19号楼一楼门面房 
北龙中网（北京）科技有限责任公司 www.knet.cn 
安徽立方连锁药房有限公司新文采花园店 安徽省合肥市蜀山区蜀鑫大道新文采花园1东区106室 
安徽立方连锁药房有限公司岳西路店 合肥市蜀山区岳西路大溪地五期临街106商铺 
安徽立方连锁药房有限公司洪岗路店 合肥市蜀山区洪岗路与石台路交口华府骏苑22幢107、106部分门面 
安徽立方连锁药房有限公司怀宁路店 安徽省合肥市蜀山区怀宁路大溪地现代城商住楼106号 
安徽立方连锁药房有限公司龙岗二店 安徽省合肥市瑶海区龙岗开发区史城村史城组 
安徽立方连锁药房有限公司龙岗二店 安徽省合肥市瑶海区龙岗开发区史城村史城组 
安徽立方连锁药房有限公司蜀南庭苑店 合肥市高新区蜀南庭苑西商业街14#楼109门面房 
安徽立方连锁药房有限公司金色池塘店 安徽省合肥市蜀山区樊洼路金色池塘3D-28#103商铺 
安徽立方连锁药房有限公司湖光路店 安徽省合肥市蜀山区湖光路东侧商铺（福乐超市内） 
安徽立方连锁药房有限公司海棠路兴园店 安徽省合肥市高新区海棠路兴园小区62-103号 
安徽立方连锁药房有限公司曙宏新村店 合肥市包河区望江东路199号商业用房一层 
安徽立方连锁药房有限公司淝河路店 安徽省合肥市包河区淝河路文昌雅居2#楼109、110号门面房1层 
安徽立方连锁药房有限公司万达茂店 合肥市包河区嘉陵江路与庐州大道交口万达揽湖苑18幢商108/商108上室 
安徽立方连锁药房有限公司玉兰苑店 安徽省合肥市瑶海区龙岗玉兰苑路口 
安徽立方连锁药房有限公司新安江路店 安徽省合肥市瑶海区新安江支路静安新城门面 
北龙中网（北京）科技有限责任公司 www.knet.cn 
安徽立方连锁药房有限公司方桥店 安徽省合肥市新站区瑶海工业园纬D路方桥新镇社区25幢1楼 
安徽立方连锁药房有限公司滨湖医院店 合肥市包河区广西路2601号金泉小区9幢101/商101上 
